"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Sri Lanka","LKA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.1388482434521","","","","","9.18921542518554","9.91342203621353","10.143466204886","","10.1294658163651","","","","","","6.02972088501167","10.0430361788586","","9.70460670215069","5.2947435337523","3.65437400070472","3.48421308761825","3.19327967678719","2.89809922614196","2.56642825955881","2.24114421871193","2.41890147871327","2.20033736695316","2.3097886777035","3.31094038448808","","","","","",
"Sri Lanka","LKA","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","280000","","","","","","","","","1100","1700","","","","","",
"Sri Lanka","LKA","Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval","VA.PER.RNK.LOWER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","34.3283576965332","","30.8457717895508","","40.2985076904297","38.8059692382812","36.538459777832","33.6538467407227","31.25","29.8076915740967","28.8461532592773","29.3838863372803","28.9099521636963","26.7605628967285","26.2910804748535","25.3521118164062","22.660099029541","30.0492610931396","37.4384231567383","37.9310340881348","37.8640785217285","36.2318840026855","37.6811599731445","36.2318840026855","34.2995185852051","36.2745094299316","",
"Sri Lanka","LKA","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","26.3829787233985","35.3571428570946","38.1965886194886","49.3401274941264","46.6329417159523","44.3494070886543","43.4476667626824","46.3971502227924","36.7232656747592","38.4870288402314","35.2219275436294","28.2502791959316","23.2871912774549","20.7745212785888","23.4859732208295","30.1920401106309","30.2471179414039","32.4167783333282","32.7855486211201","31.5706930880861","28.235566834726","22.4290269780963","24.5510953931415","25.8172070919186","29.0769294708386","27.0801747971594","15.9378678041576","29.1205310969108","31.753527209905","34.0494463180816","28.2510360754392","25.5845856456943","21.9581694876617","17.2605228626224","18.6602615425674","23.4738378017069","27.1169114501174","27.5294352471722","36.8392811694142","43.6168393655594","46.8217140655421","49.522033463755","51.0402719568957","52.5283019879277","48.3952915114343","22.6785214971164","20.6356165243043","37.3287470285219","38.2263549799861","",
"Sri Lanka","LKA","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","67074185.9622","66571564.439","87631211.119","97471855.5592","145231969.395","223306548.5343","269170872.146","277434533.3806","281804524.7706","264217681.8487","233936289.8965","291426912.0744","307577946.3977","315960481.3568","323808220.5363","425005907.6767","523550659.596","602432114.0578","619120759.4307","729059542.1244","799889506.6648","741220485.4386","850306534.7753","891519486.2474","939541601.9607","915138236.1867","1333930000","1247230000","1389200000","1506280000","1518740760","1603700000","1754700000","1981400000","1873500000","2453540000","3061890000","3773213006.45533","4656645472.56224","5573777098.75888","6365963005.17237","7104896884.04086","7689872443.07136","8339558443.84","7453060219.984","3009047503.41317","2456454538.7","3044057703.66034","5409764994.59403","",
"Sri Lanka","LKA","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","308200000","288900000","307500000","299200000","308400000","317800000","270800000","281800000","264200000","256487000","275321000","237984000","173461000","214126000","419911000","448219000","467855000","597001000","759987000","837898000","850670000","866482000","831851000","892939000","1219378000","1104694000","1054141000","1212942000","1325906164.69185","1359593577.84379","1669145703.57646","1806030721.63204","2288614000","2530879849.29484","2934000000","3504000000","3768000000","4323000000","4646393200","4432603910","5125054081","4490171725","4345022764","4738205568","5287396018","5819147742","6211213300","7483020015","7950419423","7004312199","8428034630","10046336999","8977326735","9905889022","10831082059","9744501692","10019860203","11162333740","11556592277","11685318470","9871373823.00001","12232578110","12755092338","11560313310","",
"Sri Lanka","LKA","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","1.00584036340039","1.21149186569747","1.00813008130081","1.13636363636364","1.4591439688716","1.19572057898049","0.553914327917282","1.98722498225692","2.2331566994701","7.16137659998362","6.78444433951642","7.95053448971359","","","9.02310251458047","16.8658624467057","12.0772461553259","18.0641238456887","20.5598253654339","15.0741498368537","17.2248933193835","14.2766958805838","15.6942769798918","20.4756427930687","25.6345448253126","18.6728632544397","14.1615780052194","15.5367692766843","14.4037911213527","12.1766193220592","15.3735619794248","11.2945708006885","7.3127228969149","4.90459338531583","5.453306066803","4.70890410958904","5.14861995753716","4.44136016655101","4.5219102421207","3.630683753108","3.94171924446469","4.3922052446669","3.99136113708978","4.17121657478918","3.77564402818295","4.19892434138511","4.34127614004175","4.28285808881403","5.42795084183322","6.23751188678276","5.85832764904052","5.225525204383","6.06667697496921","5.45029696780304","4.6548751847103","4.20595112971735","4.9539444158251","4.74270497846627","4.49713933435501","3.75524834968405","3.61218602793865","3.73906261531323","3.44655145059445","3.78970632760471","",
"Sri Lanka","LKA","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","15.9312134977287","14.8148148148148","16.5528455284553","15.2406417112299","17.4448767833982","20.0125865324103","21.7872968980798","20.5819730305181","22.1423164269493","30.2580637615162","28.2775378558119","26.8639908565282","21.8152783622832","23.6482258109711","23.5102200228144","35.7222696940558","28.5947569225508","30.3250748323705","33.4292560267478","26.5741176133611","28.5795902053675","27.944031151253","23.4531184070224","27.1362321502365","32.2485726329325","24.2750481128711","19.0151981566033","20.5197775326438","20.773053985488","17.9013639082133","20.1909398141284","16.2924160378596","11.1343372014678","8.62510793343453","9.33878663940014","9.41780821917808","11.0934182590234","10.4325699745547","9.79235442235065","8.41183438833361","8.60063384763334","8.40597897177307","8.16515818834039","8.59427420688895","8.2461910459456","9.03091090482232","9.37233293855808","10.6859133798535","13.4023524710842","14.9380669974902","15.8682619698728","15.974133429525","16.3227627583948","15.8351651579809","15.8713657013759","12.561204694591","15.5169229061149","17.0490990712844","15.9578349637748","15.3842456293791","16.0671709474172","15.5412050256673","14.0059918318092","15.5435083878362","",
"Sri Lanka","LKA","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","0.321843581548317","0.326650629056992","0.414946600354667","0.376451138228045","0.476731887304021","0.543300825789771","0.564739961687382","0.674696345997381","0.696535962170337","0.760245176342691","1.45771785018879","","3.92803375487986","5.27879972398174","6.27379941294529","4.95508003685673","4.78802708669156","0.92866301800711","0.847629042511755","0.820839179629093","0.860280855662012","0.80677794825652","0.903959640975386","1.05631455387119","1.64061984391382","1.14587538821208","","","1.5774141996044","0.695909400954574","0.778973624037233","0.75514131622867","0.645031952639682","","","","","0.228913616734358","0.27752697953711","0.300083134964803","1.86793085461174","2.85516105965057","3.12078954906743","3.6175738210404","1.82413360827755","2.1019368588222","1.65493324221432","1.41195321485931","0.875207413596527","0.611659075040682","0.757834426205087","0.621745135398051","0.555241520911473","0.537232352990438","0.597589673351454","0.778839492862646","","0.73801712721378","0.552811053515783","0.681639263401587","0.67746966890084","0.599148181330232","0.566958693554718",
"Sri Lanka","LKA","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","0","0","0","0","0","0","0","0","0","0.25516900890412","0.43572418727777","","7.50627706746404","0.0464978923818168","0.493992538434304","0.381990991974128","5.88361887766842","9.6870105904601","15.3968064270831","12.8761407968791","13.1384105705329","9.30990208563923","8.79149335064909","8.99847179450423","5.82203939069284","4.90218134814597","","","1.47156678440324","1.39654409956802","0.53450775402542","0.630861225835345","0.701524663801205","","","","","0.432362605125832","0.501162220025128","0.42870794782658","0.304586211573665","0.0186247651649952","0.150369711535244","0.00821077727954495","0.11625628378638","0.0283395744133274","0.0214090522245665","0.0294628619921436","0.15783503417986","0.440288017795888","0.359491962840932","0.316453474817973","2.6384817081413","1.80834526900714","1.60024589595184","2.5584319412636","","2.85971752760838","2.73757863569001","1.92719188762874","2.25446590051031","3.22549312462179","3.43981418083681",
